"Sentence","labels"
"It is unknown if IPFP measures such as size and signal intensity alteration are associated with increased or decreased release of systemic IL-17 , resistin , and adiponectin in knee OA .",0
"BHM was found to be more effective than MRP in rehabilitation of the hand in chronic post-stroke patients .",0
"In this study , inhaled GSK2269557 had an acceptable safety profile for progression into larger studies in COPD patients .",0
"Combining WB with RS had more benefits than did WB alone .",0
"Implementation of newer screening strategies , which include surveillance , such as primary HPV screening , need to consider the information and support provided to women .",0
"Treatment of LUTS should be tailored to individual patient needs and disease status , considering factors like mobility , cognitive function , and general medical condition .",0
"The viability of cells was determined by trypan blue dye exclusion method and was more than 88 % .",0
"Globally expanding pandemics involving CHIKV and post-CHIKV rheumatic disorders are increasing public health concerns .",1
"These results suggested a potential for widespread and general application of H2 gas .",0
"Evidence suggests that beliefs about medicines that drive non-adherence may be more prevalent in some ethnic groups .",0
"The MIG ICS assay did not correlate with the IFN-α ICS assay , and the MIG RT-PCR assay did not correlate with the IFN-α RT-PCR assay .",0
"Relative incretin insensitivity is partly compensated for by higher incretin secretory responses .",0
"NCT ClinicalTrials.gov registration : NCT01515124 .",0
"Although multivessel coronary artery disease is not associated with impaired reperfusion success assessed by cardiac magnetic resonance imaging , patients with multivessel disease are at a high risk of adverse clinical outcomes .",1
"Future efforts should focus on standardization of DQA processes for health systems research .",0
"This application has been programmed to reduce many of the nonadherence factors of hypertension treatment .",0
"The current results illustrate the complexity of apoptosis regulation in epithelial cells in response to pylori exposure , and the cluster analysis suggests that there is some biological coordination of gene expression regulating apoptosis .",1
"We also studied if extracellular ATP affects TNF-α and IFN-α - induced dye coupling .",0
"Women with low-grade cytology , irrespective of their management , have substantial initial psychosocial morbidity that reduces over time .",1
"One exception is the ventrolateral preoptic area , which was identified as a cluster of cells in the basal forebrain which provides inputs to systems in the hypothalamus and brainstem that promote arousal .",0
"Stemming from these experiences , students tend to change their perspectives on their role as physicians and define the type of physician they wish to be .",1
"Careful dietary and weight history should be obtained before starting nutritional supplements in subjects with stable weight loss and good viral control .",0
"To explain why n-3 PUFA decreases the level of Hcy , we examined the effect of n-3 PUFA on the mRNA expression of genes encoding the critical enzymes involved in methionine metabolism .",1
"We hypothesized that a gene expression profile associated with WT 1 expression levels might be a good surrogate marker .",0
"Initially , her clinical condition improved spontaneously , and she required only a short course of oral steroids .",0
"Our findings suggest that a low dose of THC produces subjective stress-relieving effects in line with those commonly reported among cannabis users , but that higher doses may non-specifically increase negative mood .",1
"All patients were seen at least twice and had undergone a metabolic workup .",0
"Prevention of diarrhea , severe respiratory tract infections , and anemia are likely to decrease the burden of wasting .",1
"CSE , which is a vitamin B6 dependent enzyme , catalyzes the conversion of cystathionine into cysteine , β-ketobutyrate , taurine and H2 S and is the rate-limiting enzyme for the synthesis of cysteine from Hcy .",1
"The unstable position of Ochsenheimeria is likely due to the internal feeding mode of its larva having caused morphological modifications that remove it from the otherwise constantly recovered association with Ypsolopha , the larvae of which feed externally on leaves of various trees and shrubs .",1
"Three hours after decompression , cell activity was detected by cell counting kit-8 assay and lactate dehydrogenase activity assay , cell permeability was measured by electrical resistance determinations .",0
"As the number of functional release sites critically regulates the firing probability , multiple innervations further contribute to the ability of ChCs to strongly and precisely regulate pyramidal neurons .",1
"Matching for Fy is of lower clinical relevance .",0
"Finally , overexpression of UTX and JMJD3 leads to reduced di - and trimethylation on H3K27 in cells , suggesting that UTX and JMJD3 may function as H3K27 demethylases in vivo .",1
"Decreases in liver and spleen were detected after a 6.2-kg weight reduction compared with a control group .",0
"This is likely to be due to a dilution effect , caused by ATP synthesis from unlabelled CTP by nucleoside diphosphokinase .",1
"The observed effect on DC could play an important role in the pathology and suboptimal immune response observed during the disease .",1
"The preventive application of an antioxidant-containing ointment was shown to be significantly more effective in the prevention of PPE grade III compared to placebo treatment .",1
"Compared to resistance exercise alone , 3-Step Workout for Life improves the performance of activities of daily living and attenuates the disablement process in older adults .",1
"After the peak hazard of death , a consistently high hazard remains , but it is lower than in the peak period .",0
"TA dimension was correlated with TR severity assigned as color Doppler grade and systolic tissue Doppler imaging of the tricuspid valve .",0
"As expected , the number of mutations present in the trees decreases with higher numbers of input samples , lower coverage , and the presence of CNVs .",1
"Treatment with XFHM suppressed the pathological changes in arthrosis of CIA .",1
"The WISER Survivor trial will show the effects of exercise and weight-loss on lymphedema outcomes , biomarkers of recurrence and quality of life .",0
"Higher indexes were associated with lower SJC , TJC and disease activity VAS , as well as with an increased probability of good response , with patients with at least one homozygous variant being 3.7 times more likely to have a good response to MTX than those with none .",1
"Synovial lipoma of the patellar tendon is very rare , and has been reported to be associated with tendon rupture .",1
"The conserved N-BAR domain of ICA69 deforms liposomes in vitro Full-length ICA69 and the ICAC but not the N-BAR domain of ICA69 induce filopodia in cultured cells .",1
"While there was some evidence that An .",0
"Indeed , such exposure to the communities through community placements during CBE shapes trainees values and perceptions of rural practice , eventually promoting ethics , professionalism and health professionals uptake of rural practice .",1
"Relative electrolyte leakage was calculated as To determine contamination of apoplastic fluids with cellular components , malate dehydrogenase activity was determined as symplastic marker enzyme .",0
"Poor digestibility is associated with a high sensitizing potential , as limited digestion in the gastrointestinal tract results in rather large , potentially immunogenic peptides that are then exposed to the gut 's immune system .",1
"We observed that more frequent HD sessions per week was feasible and associated with improved blood pressure control , but barriers to changing thrice-weekly standard of care include financial reimbursement and the time demands associated with more frequent treatments .",1
"Indirect costs such as transport and potential loss of income are also important determinants of care seeking .",1
"In addition to beetles nutritional value , some economists have investigated the potential for edible insects to provide income and generate jobs for the rural population .",0
"The cell growth of HPMCs in the presence of benign fluid and malignant ascites OVC346 was also monitored by XTT assay and demonstrated that OVC346 stimulated cell growth whereas OV401 did not .",0
"Six patients needed additional propofol to obtain adequate sedation .",0
"These findings suggest that depression and trauma-related cognitions , particularly negative thoughts about the self , play an important role in suicidal ideation among active duty military personnel with PTSD .",1
"However , a study in SSA suggests that circumcising men between 20 and 30 years of age can reduce adult HIV prevalence from 12 % to 10 % .",1
"The supplementation effect represents an upward shift in mean femur diaphysis length at term of about one-quarter of the reference SD .",0
"This pathogen has been drawn significant interest in recent years due to its worldwide prevalence , the seriousness of its infection , associated with high mortality in both immunocompromised and immunocompetent hosts and its cryptic ecology , distribution and epidemiology across the globe .",1
"The presence of caseating granulomas and necrosis was helpful , but not common .",0
"Ropivacaine nebulization before or after surgery reduced postoperative pain and referred shoulder pain after laparoscopic cholecystectomy .",1
"Dietary supplements of purified unconjugated isoflavones administered to humans in single doses exceeding normal dietary intake manyfold resulted in minimal clinical toxicity .",1
"At the level of the brain , the delay of insulin signaling was associated with decreased levels of hypothalamic proopiomelanocortin , leading to increased food intake and obesity accompanied with hyperinsulinemia and hyperleptinemia .",1
"Ulcerative colitis is a chronic , relapsing inflammatory bowel disease that slightly increases the risk of colorectal cancer in patients with long-standing extended disease .",1
"In conclusion our data show that longisporum - induced stunting of oilseed rape was not caused by nutrient limitations , reduced water supply or suppression of photosynthesis .",1
"The difference in viral clearance dynamics and the environmental contamination period of the two viruses , that differed only by the presence of a PB1-F2 protein , lead us to investigate whether PB1-F2 had any effect on transmission parameters in co-housed chickens who shared a common water and food source .",0
"In contrast with SEV , SFOH did not appear to impact the iPTH-lowering effect of oral VDRAs .",1
"UTMD-based shRNA delivery system established in this work could specifically induce apoptosis in cervical cancer cells , inhibit proliferation in vivo and provide a powerful tool for gene function analysis .",1
"Notably , flow-induced arousal did not affect responses to electroshock and touch stimuli , which is suggestive of distinct arousal states .",1
"When all meditation forms were analysed together , meditation reduced cortisol , C - reactive protein , blood pressure , heart rate , triglycerides and tumour necrosis factor-alpha .",1
"All but the highest temperature facilitated survival > 6 mo , and survival of > 1 yr was observed at 18.3 degrees C .",0
"Indeed , the pKa of one of the glutamic acid residues of the regulatory protein TraM is approximately 7.7 in the folded protein .",0
"Galanin stimulates phosphatidylinositol turnover in cardiac tissue of the mudpuppy .",1
"Our results provide evidence for differential recruitment of brain regions based on task demands in children with ASD , and support the potential of targeted interventions to alter brain activation in response to positive gains in treatment .",1
"Furthermore , the Spearman correlation analysis showed that APRI was significantly associated with the ALT , AST , bilirubin , albumin , PT , INR , blood loss , Child -- Pugh score , ASA grading , and portal vein interrupt .",1
"Because it is an enzyme involved in regulating growth , cell cycle progression , apoptosis , and invasion , GSK3α may qualify as an ideal therapeutic target for OSCC .",1
"Although temperature was associated with BP , it did not affect results with genetic markers in either study .",0
"The results provide essential hints for the professionalisation of caregivers and for using the concept of RCT for OVC in institutional care in Tanzania .",0
"Thus , in non-invasive , inducible zebrafish systems , Hcrt GOF consolidates sleep and wake states and reduces sleep , whereas Hcrt LOF fragments sleep and wake states and increases sleep .",1
"A similar observation was recently made by Vissers et al who observed that the aggregation of peanut allergen Ara h1 resulted in increased allergenicity as determined in a biological assay , while the IgE-binding to individual epitopes was not increased .",1
"In general , Aγ is less neurotoxic , less common in the neuritic plaques of AD , and less likely to be involved in the neuropathology of AD than Aγ .",0
"Comparing acceptance and rejection in the classroom interaction of students who stutter and their peers : A social network analysis .",0
"In the lipid accumulation phase , monocytes that has migrated into the arterial wall differentiate into macrophages and arise to express scavenger receptors that bind , and facilitate the uptake of modified lipoproteins .",1
"Exposures exceeding those attained in this trial are more likely to elicit clinical benefit .",0
"Dietary fat-mediated alterations in the rate of hepatic removal of postprandial TRLs , which carry cholesterol accepted from LDL HDL via cholesteryl ester transfer protein in vivo , may contribute to the dietary fat-mediated change in endogenous lipoprotein cholesterol .",1
"This portable hearing self-testing system based on a notebook personal computer is a reliable and sensitive method for hearing threshold assessment and monitoring .",0
"The Scottish Diabetes Research Network provided information about T2D diagnoses which was linked to the Generation Scotland database .",0
"Neurons were characterized as being AH-neurons , in which each action potential is followed by a prolonged after-hyperpolarization , or S-neurons , in which the prolonged after-hyperpolarizations were not observed and focal stimulation of internodal strands evoked fast excitatory synaptic potentials .",0
"Their rate of drug release at different pH levels showed a fast onset of curcumin release .",0
"The study will contribute with evidence on the effectiveness of implementing early palliative care in standard oncology treatment and hopefully offer new knowledge and future directions as to the content of palliative rehabilitation programs .",0
"This ratio could be a valuable , minimally-invasive measurement for future studies interested in understanding the relationship between maternal HPA-axis function and offspring birth weight .",0
"These results suggest that prefractionation by centrifugal ultrafiltration can significantly increase the number of identified proteins .",1
"Endothelial dysfunction may result in activation of platelets and coagulation .",1
"B cells also contribute to RA pathogenesis by antigen presentation and inflammatory cytokines production .",1
"Unexpectedly , examining several conditioning lesion -- induced pro-regenerative pathways revealed that Raptor deletion but not rapamycin suppressed Stat3 activity in neurons .",1
"Our results support the routine use of this simple and cheap alternative method of skin disinfection before epidural anaesthesia .",0
"While GPI induces secretion of TNF by macrophages , haemozoin induces maturation of DC and secretion of TNF , IL-12 and IL-6 .",1
"The ontogeny , as well as the adult structure , of the eye has been studied in only a few species .",0
"Data from the remaining 19 months were compared with self-reported complications .",0
"Conditioning lesions prevent sensory axon dieback after injury .",1
"In addition , it has been shown that epidermal growth factor receptor signaling may be required for cancer self-renewal .",0
"The extended lifespan and the anticipated growth and aging of the human population are expected to increase the number of people with a cancer history in the following years .",1
"Despite this , homology searches and in particular blastn produced the highest host prediction accuracy in a comparison of different methods on a benchmark dataset of 820 RefSeq virus isolate genomes and 2699 complete bacterial host genomes .",0
"However , the presence of a humanoid robot to support this figure 's teaching activity did not result in any significant learning improvement .",1
"In summary , our results indicate that XFHM can suppress the inflammatory swelling in joints , inhibit inflammatory infiltration in synovium and relieve cartilage and bone destruction in CIA mice .",1
"In patients with type 2 diabetes and a recent acute coronary syndrome , the addition of lixisenatide to usual care did not significantly alter the rate of major cardiovascular events or other serious adverse events .",1
"The results of this study suggest that Gua sha therapy was effective and safe in relieving perimenopausal symptoms and improving the quality of life in participants with perimenopausal syndrome .",1
"Heart rate reduction induced by a new liquid formulation of landiolol occurred faster , was more pronounced , and lasted longer than the effects of corresponding standard esmolol doses .",1
"This trial will assess the efficacy and safety of nintedanib in patients with SSc-ILD .",0
"Research on hybridization between species provides unparalleled insights into the pre - and postzygotic isolating mechanisms that drive speciation .",0
"These effects , which probably depend on a diazepam-mediated increase in sympathetic drive and decrease in vagal tone , might be of clinical relevance due to the role of increased BP and HR as independent predictors of cardiovascular morbidity and mortality .",1
"Neither study arm adhered to current resuscitation guidelines and telemedicine consultation with PCCM experts was not associated with improvement .",0
"The findings are compared to other published studies .",0
"There may be advantages to using an MCT-based formula in the treatment of AIDS-associated malabsorption .",0
"After abdominal surgery , sugammadex reversal eliminated residual neuromuscular blockade in the PACU , and shortened the time from start of study medication administration to the time the patient was ready for discharge from the operating room .",1
"Wogonoside inhibits LPS-induced angiogenesis both in vitro and in vivo .",1
"An alternative measure may be more sensitive and may correlate better with protection from malaria .",0
"This study was publicly registered .",0
"Mediation testing suggested that for 35 % of trans-eQTL-trans-eGene pairs in different chromosomes and 90 % pairs in the same chromosome , the disease-associated SNP may alter expression of the trans-eGene via cis-eGene expression .",1
"Among these , the three BMI categories were significantly associated with fatty liver .",1
"In developing countries most patients received antimicrobial treatment without prescription , such common practices in nearly all developing countries exert a selective pressure on coli organisms , known to be a common cause of community-acquired infections , to develop such resistance that leads to a potential sustainable source for nosocomial infections .",1
"Flecher et al have reported that implantation of a percutaneous valved stent in the orthotopic position with the native valve in place causes coronary ostial obstruction .",1
"However , few studies have been conducted to explore the mechanism underlying the regulation of lipases expression .",0
"CornCyc does contain alternative splicing information , where gene products linked to alternate splice variants are suffixed with a numerical identifier .",0
"Only cells responding by above baseline changes in intracellular calcium to methacholine , which directly stimulates the acinar cell , were included in the results .",1
"Taken together , these data support both the long-term clinical benefit and tolerability of maintenance olaparib in patients with BRCA-mutated platinum-sensitive recurrent serous ovarian cancer .",1
"Further research is needed to determine how best to communicate different types of genetic risk information to patients , particularly to those with lower educational levels and lower numeracy .",0
"Thus , the MyoD and Myf5-E2F4 and p107 and p130 axis functions in both the Pax7 and Myf5 embryonic progenitor cells and postnatal myoblasts to repress the alternative BA fate .",0
"Using an innovative trial design and selecting patients based on target gene expression , we conclude that vandetanib 100 mg and m and d is a well-tolerated and highly active new treatment for children and adolescents with MEN2B and locally advanced or metastatic MTC .",1
"The effectiveness of BVT to reduce the frequency of IDH leads to a reduction of the dialysis staff workload with fewer staff interventions , allowing for major work-time saving .",1
"However , waking and bedtime cortisol , as well as waking cortisone : cortisol ratio , were unrelated to birth weight .",0
"Since its introduction in 1996 , RT-qPCR has played a vital role in basic and applied research in life sciences .",1
"Our study confirmed the inhibitory effects of donepezil and rivastigmine on the production of PGE2 , TXB2 , COX-1 and COX-2 mRNA and protein expression in macrophages .",1
"Bromelain used singly showed moderate anti-inflammatory efficacy , reducing postoperative swelling , albeit not to any significant extent compared with no drug administration .",1
"Optimizing family-focused interventions into HF clinical care maybe indicated .",0
"Moreover , the previously atrophic mucosa became mildly proliferative in seven of the patients who were evaluated .",0
"Few variables were able to distinguish patients who sustained injury after a hospital fall , further challenging clinicians efforts to minimize hospital-related fall injury .",0
"In addition to conventional treatment , treatment arm received infliximab infusions 3 mg and kg body weight at 0 , 2 , 6 weeks and then q 8 weeks for a total of 24 weeks , that is , a total of five doses .",0
"MAGEC1 is a protein coding gene associated with myeloma , digestive tract carcinomas , glioblastoma and melanoma .",1
"Severe calcification in a coronary atherosclerotic plaque is responsible for stent underexpansion , which is associated with an increased risk for in-stent restenosis and target lesion revascularization .",1
"However , use of NSAIDs and paracetamol was significantly reduced in the n-3 PUFA group compared to the control group .",1
"We demonstrated that ivabradine significantly decreased ventricular rate during AF compared to placebo .",1
"Computed tomography scan of the chest and abdomen and ultrasound of pelvis detected no malignancy and tumour marker , antibodies to antineuronal antibodies and antibodies to voltage-gated potassium channels were all negative .",0
"High-frequency rTMS over the left DLPFC showed therapeutic effects in patients with major depression .",1
"The situation is extremely incommensurate to the prevalence of infections caused by this organism .",1
"The results of the qualitative study provide important insights into the experiences of people taking part in drug reduction studies that should influence future trial development .",0
"Rates of IL-6 expression and secretion were higher in IPFP tissue than in subcutaneous adipose tissue , indicating that the IPFP cytokine profile could play a role in paracrine inflammation via the local production of IL-6 and contribute to damage in adjacent cartilage in patients with OA .",1
"Previous studies of other pylori strains , however , had suggested that cagA expression was induced at low pH. Although the pldA phase variation did not appear to affect the inflammatory response in this study , phase variation of the pldA gene probably serves a purpose in other aspects of pylori .",1
"Antibody-mediated rejection is associated with reduced long-term graft survival .",1
"Observational epidemiological studies of patients with multiple sclerosis have demonstrated an association between excessive salt intake and a higher number of flares .",1
"The effect of RUTF on weight for height and weight for age Z score from baseline to the end of follow-up was statistically significant but there was no significant effect of RUTF on height for age .",0
"Pessimism about end-of-life care among minority trainees may reflect the influence of culture on clinician attitudes about communication with seriously ill patients .",1
"The antigenicity associated with this polymorphism in humans suggests that mutations at this position may result in structural alteration of the molecule .",1
"A dynamic feeding system can be used to induce sustained , low-intensity exercise that promotes weight loss in ponies .",1
"In the control group , the first bone implant contact was placed under the level of the first threads .",0
"The percentage of endothelial cell loss that occurred with manual NF using the Keener nucleus divider was similar to the one that occurs with other cataract surgery techniques .",0
"Exposure to midazolam and 1-hydroxymidazolam was not affected by treatment with selexipag .",1
"The most likely cause for the failure to accelerate MCC was under-dosing of HS relative to the active transport of salt from the airways .",1
"The ME expression values of M2 , M3 , M4 , and M5 show positive correlation with both aging and AD .",1
"Spiro oxindole alkaloids , as the markers for the medicinal Uncaria herbs , can easily isomerize in polar or aqueous solvent via a retro-Mannich reaction .",0
"Consistent with these findings , fibulin-3 expression level correlated with the invasive ability of several bladder cancer cell lines and modulation of fibulin-3 expression directly affected invasion .",1
"Only small quantities of arsenopyrite and ferric arsenate particles , common in the local gold mineralization , were identified .",0
"Noninvasive MCP treatment for eight days substantially improves cardiac function and physical performance in patients with CHF .",1
"The results indicate the potential clinical utility of these two systems , and recommend further testing .",0
"VUE images can replace conventional unenhanced images .",0
"Results will be disseminated to inform vivax malaria treatment policy through peer-reviewed publications and academic presentations .",0
"Aspirin intake was not associated with significant intraoperative bleeding thus , discontinuation of aspirin is usually not indicated .",1
"Sleep efficiency improved 8 to 16 percent with CBT-I , but improved less with drugs .",1
"The significant difference of hemodynamic indexes between the two groups of this study , and the need for hemodynamic stability in all stages of surgery for patients with low function of left ventricle who are candidate for open heart surgery , proves that administering Cisatracurium as the muscle relaxant is advantageous and better .",1
"The time to completion of intubation was significantly shorter using the fiberoptic bronchoscope than that using the Macintosh laryngoscope .",1
"A slight , but not statistically significant increase in Etd uptake was recorded after 3.5 h treatment with TNF-α plus ATP and was inhibited by La or Cbx , suggesting an upstream cross talk between Cx and Panx HCs .",1
"Perioperative treatment with pasireotide decreased the rate of clinically significant postoperative pancreatic fistula , leak , or abscess .",1
"In addition , youths who have previously been unsuccessfully treated with MPH because of adverse side effects or poor response may be successfully treated with Adderall .",0
"The absolute structure of - verruculide B was determined as 5 - -- 68-dihydroxy-3-methylisochroman-1-one with the help of CD and NOE data .",0
"Accordingly , our genomic and biochemical analyses show that in OSCC cell lines , ICG-001 suppresses stem cell-like and survival markers and enhances the expression of epithelial differentiation genes .",1
"Lung cancer is divided into small cell lung cancer and non-small-cell lung cancer , up to 90 % of cancer cases are caused by smoking .",1
"Moreover , home-based rehabilitation may provide an alternative means of recovery for stroke patients .",0
"These studies show that EGFR-targeted therapy effectively reduces CSC populations in SUM159 and MDA-MB-231 tumors and tumor growth in vivo .",1
"The current study demonstrates that OC ascites consistently induce a switch of morphology in HPMCs from an epithelial to a fibroblastic pattern , a finding that has been reported by other groups when HPMCs were incubated with TGF-β1 .",1
"Genetically predicted high body mass index is associated with increased gastric cancer risk .",1
"Zinc supplementation to maintain normal serum zinc concentrations in the elderly may help reduce the incidence of pneumonia and associated morbidity .",1
"The group interview was performed at the end of the inclusion period and included three women previously interviewed , and three women additionally included for the group interview due to a too low turnout of previously included women .",0
"The study showed that the tablet formulation of ODM-201 had similar pharmacokinetics compared with the capsule .",0
"The study suggests that the use of walking aids in gait speed tests may conceal exercise effects .",1
"Inhibiting the upstream molecules pharmacologically by using peptide competitors and blocking phosphorylation at Ser9 certainly will keep GSK3α in an active state .",1
"Direct-to-vial use of the new monolayer preparation generated significantly better results than those shown in any of the earlier split-sample trials .",0
"Pseudomonas lipases are well studied enzymes .",0
"More than 18 % of all lung cancers detected by LDCT in the NLST seem to be indolent , and overdiagnosis should be considered when describing the risks of LDCT screening for lung cancer .",0
"Hence , activators affect actin nucleation by blocking vi , keeping the nucleation sites in the active form .",1
"Human MORN2 facilitates phagocytosis-mediated restriction of Mycobacterium tuberculosis in macrophages and is important for LC3-associated phagocytosis .",1
"A pharmacodynamic study may be able to clarify whether these PK differences account for observed differences in LNG-EC and UPA-EC efficacy .",0
"The effect of different rearing seasons , planting density , rearing techniques , rearing conditions , quality of leaves , feeding proportion , and various chemicals such as food additives , vitamins , antibiotics , and hormones have an influence on the efficiency of conversion of food .",1
"The fact of increased environmental contamination has direct consequences for the efficiency of transmission to naive birds as the presence of PB1-F2 can lengthen the window of opportunity for naive birds to contract the virus from contaminated environmental sources , presumably through fomite and faecal-oral transmission routes .",1
"HD associated with elevation of NLR values may be partly attributed to a homeostasis disorder of the innate inflammatory state , caused by oscillating hyperglycemia .",1
"On one hand , this may look counterintuitive , as VEGF is regulated by HIF1a , just like SDF1 and CXCR4 , but on the other hand these regulatory networks in vivo are subject to many interactions and apparently in PM , other regulation mechanisms , including oncogenes , of VEGF expression prevail over HIF1a .",1
"Abnormal results of coagulation tests on admission were significantly associated with severity of AP , in particular , high plasma concentrations of D-dimer as well as ISTH score for DIC predicted more severe AP with reliable diagnostic accuracy .",1
"IL-1α has been shown to play an important role in driving the pathogenesis of numerous microbial infections , such Escherichia coli - induced sepsis , severe lung inflammation during influenza infection , Pseudomonas aeruginosa - induced pneumonia , Burkholderia pseudomallei - induced melioidosis , and Porphyromonas gingivalis - mediated periodontal tissue destruction .",1
"These findings suggest that early diagnosis in the acute inflammatory phase and subsequent aggressive treatment may have contributed to the significant downward trend in the incidence of ESRD in patients with IgAN over three decades .",1
"In eyes with clinically relevant oblique astigmatism , we recommend using a modified BENT incision .",0
"An alternative is to use a big data framework such as Hadoop with a distributed file system , which can work well on commodity hardware and also improve horizontal scaling .",1
"9vHPV vaccine prevented HPV-31 and 33 and 45 and 52 and 58-related persistent infection with 90.4 % -100 % efficacy across included countries .",1
"An independent evaluation of audio recorded supervision sessions indicated that MIA : STEP and SAU were highly and comparably discriminable across sites .",0
"Multivariate analysis revealed that a bile duct angle < 110 degrees , a CT value ratio of the tumor < 3 , and an MPD ratio > 0.2 were independently associated with PHC .",1
"While the presence of fucose on an EGF repeat is not required for the function of either Notch ligands or Cripto , biological roles for O - fucose have only begun to be explored .",0
"Mercury is a global pollutant that bioaccumulates and biomagnifies in food chains and is associated with adverse effects in both humans and wildlife .",1
"Waved rod may be better in facilitating interbody fusion compared with traditional straight rod , although waved rod and straight stiff rod can both get similar clinical efficacy .",0
"On the other hand , another group of investigators supports an opposite role for EGFR inhibitors suggesting that inhibition of EGFR leads to augmentation and not amelioration of the bleomycin-induced fibrosis .",1
"Because the caffeine effect is known to be compensated for by reduced calciuria later in the day , we conclude that the net effect of carbonated beverage constituents on calcium economy is negligible .",0
"To ensure a one to one point correspondence between the descriptive vectors v i of all shapes , we aligned the contour representations by minimizing the Eucledian distances between corresponding points .",0
"During the influenza A and H1N1pdm09 pandemic in 2009 , influenza surveillance systems enabled monitoring of pandemic disease trends , severity and mortality .",0
"The hospitalization of an infant for bronchiolitis was confirmed to seriously impact its parents and family .",1
"Salivary glands are stimulated by taste and chewing , and their size can reflect changes in the diet , for instance , rat parotids can halve in weight when feed is changed from a hard to a soft chow of equal calorific value .",1
"Here , we show that uncoupling of polymerized TUBB3 with netrin-1-repulsive receptor UNC5C is involved in netrin-1-mediated axonal repulsion .",0
"Among the three age groups , neck injuries were significantly less common in Groups 2 3 compared to Group 1 .",0
"LAA occlusion guided by 3DP technology is feasible .",0
"Barley high in β-glucan may contribute to preventing visceral fat obesity .",1
"The disorders are characterized by early onset and by long-lasting social or cognitive handicaps .",1
"Obinutuzumab plus bendamustine followed by obinutuzumab maintenance has improved efficacy over bendamustine monotherapy in rituximab-refractory patients with indolent non-Hodgkin lymphoma , with manageable toxicity , and is a new treatment option for patients who have relapsed after or are no longer responding to rituximab-based therapy .",0
"Preservative-free latanoprost showed similar efficacy at all time points compared to BAK preservative containing formulation , with no difference in tolerance , allowing progression to phase III clinical development .",1
"The use of swept tones might make it probable to catch any slight OAE differences caused by different calibration methods , if any .",1
"Events in the second peak are the result of stochastic transitions from one state to the next in the growth progression as proposed .",1
"Following amino acid starvation , we found the LC3-II and ATG expression levels were enhanced in the IEC-18 cells .",1
"Within body functions and structures , several concepts were relevant for certain conditions only .",0
"More recently , a new interaction has been reported between HMGA1 and the nuclear non-coding 7SK RNA , a factor which negatively affects Polymerase II transcription elongation and influences HMGA1 biological functions by competing for the first AT-hook binding with DNA .",1
"Vaccination by BCG prime IgHSP65 mIL-12 and HVJ-E boost showed significant protective effects on the bacterial loads in the lungs as compared to BCG alone .",1
"Use of burs and polishers increases the ER , but polishers ensure greater integrity of the initial roughness .",1
"The ESTs generated by Yuji Kohara , are also generated from an L1 stage elegans cDNA library .",0
"Treatment with omalizumab resulted in rapid clinical benefits in patients with CSU .",1
"Furthermore , although older drivers may have lower driving scores initially , they have the ability to improve on these scores .",0
"The ability of cells to divide is mainly attributed to the presence of three classes of molecules : CDKs , their binding partners cyclins and CDK inhibitors .",1
